parcel_id,city,lot_sqft,zoning
050002700353,Cincinnati,10672.199999999999,510
050002700354,Cincinnati,9757.44,510
050002700355,Cincinnati,10497.96,510
050002700356,Cincinnati,10672.199999999999,510
050002700357,Cincinnati,18469.44,510
050002700358,Cincinnati,19427.760000000002,510
050002700359,Cincinnati,16465.68,510
050002700360,Cincinnati,10323.72,510
050002700361,Cincinnati,10323.72,510
050002700362,Cincinnati,10497.96,510
052600900067,Cincinnati,17728.92,510
050003310083,Cincinnati,9975.24,501
050003310090,Cincinnati,42514.56,510
050003310091,Cincinnati,3789.72,508
050003310098,Cincinnati,29969.28,510
050003310101,Cincinnati,1829.5200000000002,500
050003310102,Cincinnati,23740.2,510
050002700377,Cincinnati,11499.84,510
050002700378,Cincinnati,11935.44,510
050002700386,Cincinnati,12545.279999999999,510
050002700387,Cincinnati,17859.6,510
050002700388,Cincinnati,14766.84,510
050002700390,Cincinnati,2918.52,500
050002700391,Cincinnati,19819.8,510
050002700392,Cincinnati,19819.8,510
050002700394,Cincinnati,19384.2,510
050002700395,Cincinnati,19602.0,510
050002700396,Cincinnati,19514.88,510
050002700397,Cincinnati,12937.32,510
050002700398,Cincinnati,15028.199999999999,510
050002700399,Cincinnati,14984.64,510
050002700406,Cincinnati,566.28,500
050002720005,Cincinnati,3223.44,500
050002720007,Cincinnati,12675.96,510
050002720008,Cincinnati,6577.5599999999995,510
050002720009,Cincinnati,10454.4,510
050002720010,Cincinnati,15942.96,510
050003310057,Cincinnati,30709.8,510
050003310065,Cincinnati,6446.88,500
022700010004,Cincinnati,199940.4,510
022700010017,Cincinnati,97138.8,510
050003310078,Cincinnati,41382.0,510
050003310079,Cincinnati,34848.0,510
052600900027,Cincinnati,17554.68,510
003900060004,Cincinnati,6621.12,510
003900060005,Cincinnati,9016.92,520
050003430277,Cincinnati,13547.16,510
050003420591,Cincinnati,479.15999999999997,508
062001700484,Cincinnati,41774.04,510
000200030023,Cincinnati,19514.88,510
000200030038,Cincinnati,29359.440000000002,510
000200030040,Cincinnati,17075.52,510
050003310103,Cincinnati,37243.799999999996,510
050003310108,Cincinnati,48917.88,510
050003310109,Cincinnati,11935.44,501
050003310110,Cincinnati,75794.4,510
050003310111,Cincinnati,6969.6,500
050003310112,Cincinnati,1742.4,500
050003310113,Cincinnati,5837.04,500
050100040068,Cincinnati,9496.08,510
050003310117,Cincinnati,784.0799999999999,500
050003310118,Cincinnati,696.96,500
050100090575,Cincinnati,6708.24,508
052500240190,Cincinnati,33105.6,510
052500240191,Cincinnati,24437.160000000003,510
052500240196,Cincinnati,30884.039999999997,510
052500240228,Cincinnati,1176.12,500
050003420527,Cincinnati,261.36,501
050003420575,Cincinnati,609.84,508
060900130531,Cincinnati,6403.32,510
050003420581,Cincinnati,609.84,508
060900130532,Cincinnati,6011.280000000001,510
003900060002,Cincinnati,479.15999999999997,400
003900060003,Cincinnati,5096.52,510
062100220010,Cincinnati,25090.559999999998,510
000200030050,Cincinnati,7448.76,510
000200030051,Cincinnati,7535.879999999999,500
000200030052,Cincinnati,8145.72,510
000200030055,Cincinnati,7405.200000000001,510
000200030080,Cincinnati,17293.32,510
062100220051,Cincinnati,23653.08,510
000200030097,Cincinnati,8537.76,500
000200030099,Cincinnati,13590.72,510
000200030100,Cincinnati,10846.44,510
000200030117,Cincinnati,7884.36,510
062100220011,Cincinnati,25482.6,510
000200030121,Cincinnati,43124.4,510
000200030122,Cincinnati,11282.04,401
000200030125,Cincinnati,8276.4,510
062001700481,Cincinnati,45258.84,510
062001700483,Cincinnati,43821.36,510
062001700488,Cincinnati,36503.28,510
000200030101,Cincinnati,8886.24,510
062001700326,Cincinnati,78364.44,510
000200030107,Cincinnati,8319.960000000001,510
000200030108,Cincinnati,8668.44,510
000200030109,Cincinnati,52881.84,510
000200030111,Cincinnati,10280.16,510
000200030112,Cincinnati,11804.76,510
000200030115,Cincinnati,17467.56,510
000200030244,Cincinnati,43.56,508
000200030251,Cincinnati,3876.8399999999997,501
000200040077,Cincinnati,10018.800000000001,510
000200040078,Cincinnati,10018.800000000001,510
000200040079,Cincinnati,19994.04,510
000200040081,Cincinnati,10018.800000000001,510
000200040082,Cincinnati,10018.800000000001,510
000200040083,Cincinnati,10018.800000000001,510
000200040084,Cincinnati,10018.800000000001,510
062001700510,Cincinnati,44605.44,510
000200030127,Cincinnati,8842.68,510
000200030128,Cincinnati,8363.52,510
000200030153,Cincinnati,11761.2,401
000200030169,Cincinnati,22825.440000000002,510
000200030176,Cincinnati,6838.92,510
000200030181,Cincinnati,6011.280000000001,510
000200030182,Cincinnati,6011.280000000001,510
000200030183,Cincinnati,6011.280000000001,510
000200030184,Cincinnati,6185.5199999999995,510
000200030185,Cincinnati,6011.280000000001,510
000200030188,Cincinnati,25918.199999999997,510
000200030192,Cincinnati,10454.4,401
000200030193,Cincinnati,11194.92,401
000200030199,Cincinnati,26005.32,510
000200030228,Cincinnati,5662.8,510
000200030229,Cincinnati,10323.72,510
000200030230,Cincinnati,9583.2,510
000200030231,Cincinnati,10497.96,510
000200030232,Cincinnati,6490.44,510
000200030233,Cincinnati,6316.2,510
000200030242,Cincinnati,43.56,508
062001220159,Cincinnati,6751.8,500
050003320005,Cincinnati,143748.0,510
062100200054,Cincinnati,24262.920000000002,510
062100220009,Cincinnati,27442.8,510
050003320013,Cincinnati,2962.0800000000004,500
050003320017,Cincinnati,58980.240000000005,510
000200040085,Cincinnati,10018.800000000001,520
