parcel_id,status,score,tier,ruleset_version,analyzed_at,error
02703200003,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703200003\' not found for city \'Memphis\'.""}'}"
02703200004,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703200004\' not found for city \'Memphis\'.""}'}"
02703200005,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703200005\' not found for city \'Memphis\'.""}'}"
02703300006,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300006\' not found for city \'Memphis\'.""}'}"
02703300007,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300007\' not found for city \'Memphis\'.""}'}"
02703300008,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300008\' not found for city \'Memphis\'.""}'}"
02703300009,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300009\' not found for city \'Memphis\'.""}'}"
02703300010,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300010\' not found for city \'Memphis\'.""}'}"
02703300011,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300011\' not found for city \'Memphis\'.""}'}"
02703300012,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300012\' not found for city \'Memphis\'.""}'}"
02703300013,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300013\' not found for city \'Memphis\'.""}'}"
02703300014,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300014\' not found for city \'Memphis\'.""}'}"
02703300015,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703300015\' not found for city \'Memphis\'.""}'}"
