parcel_id,zoning,lot_sqft
5144284,RM (f18.0; a665; u4),3927
5144287,RS (f18.0; a665) (x6),3742
5144352,RD (f13.5; a510; d0.45),48234
5144358,RM (f18.0; a665; u4),3209
5144388,RM (f18.0; a665; u4),3490
5144423,RM (f18.0; a665; u4),3602
5144495,RM (f18.0; a665; u4),3592
5144506,RD (f13.5; a510; d0.45),6748
5144543,RM (f18.0; a665; u4),3601
5144565,RD (f9.0; d0.6) (x10),4017
5144605,RD (f13.5; a510; d0.45),5635
5144683,RD (f13.5; a510; d0.45),7798
5144712,RD (f13.5; a510; d0.45),6191
5144898,RD (f9.0; d0.6) (x10),3147
5145072,RM (f18.0; a665; u4),3646
5145097,E 1.0,44459
5145190,RD (f9.0; d0.6) (x10),3147
5145325,CL 0.30 (x199),215
5145470,RD (f9.0; d0.6) (x10),3147
5145477,E 1.0 (x82),269383
5145492,RM (f18.0; a665; u4),3900
5145502,RM (f18.0; a665; u4),3973
5145706,RM (f18.0; a665; u4),3601
5145767,RM (f18.0; a665; u4),8020
5145803,RD (f13.5; a510; d0.45),6748
5145804,RM (f18.0; a665; u4),3965
5145843,RD (f13.5; a510; d0.45),7520
5145846,RD (f13.5; a510; d0.45),5499
5145867,RD (f13.5; a510; d0.45),6672
5145902,RM (f18.0; a665; u4),3696
5146033,RD (f13.5; a510; d0.45),5653
5146087,RM (f18.0; a665; u4),3810
5146213,RD (f13.5; a510; d0.45),5505
5146295,RD (f13.5; a510; d0.45),5499
5146382,E 1.0,122782
5146389,RD (f13.5; a510; d0.45),5505
5146417,RM (f18.0; a665; u4),73007
5146557,RM (f18.0; a665; u4),3499
5146612,RD (f13.5; a510; d0.45),5533
5146682,RM (f18.0; a665; u4),3601
5146798,RS (f18.0; a665) (x6),4417
5146799,RM (f18.0; a665; u4),4241
5146803,RM (f18.0; a665; u4),3699
5146828,RM (f18.0; a665; u4),3600
5147055,RM (f18.0; a665; u4),5094
5147087,RD (f13.5; a510; d0.45),11801
5147109,RM (f18.0; a665; u4),3608
5147349,RM (f18.0; a665; u4),3598
5147418,RD (f13.5; a510; d0.45),7953
5147648,UT,718433
5147766,RD (f13.5; a510; d0.45),5633
5148294,RM (f18.0; a665; u4),3599
5147831,RD (f13.5; a510; d0.45),5294
5147980,RM (f18.0; a665; u4),3599
5148129,E 1.0,150277
5147987,RAC (x187),1886
5148024,RD (f13.5; a510; d0.45),6049
5148114,RD (f13.5; a510; d0.45),6184
5148125,RM (f18.0; a665; u4),3598
5148309,RM (f18.0; a665; u4),4128
5148458,RM (f18.0; a665; u4),4514
5148495,RM (f18.0; a665; u4),3598
5148580,RD (f13.5; a510; d0.45),9234
5148609,RD (f13.5; a510; d0.45),36096
5148989,E 1.0 (x85),26552
5148684,RA (x179),71
5148745,RM (f18.0; a665; u4),3598
5148794,RM (f18.0; a665; u4),3726
5148819,E 1.0,16956
5148830,RM (f18.0; a665; u4),3804
5148850,RM (f18.0; a665; u4),4498
5148943,RM (f18.0; a665; u4),3805
5149043,E 1.0,141603
5149087,RM (f18.0; a665; u4),3598
5149092,RD (f13.5; a510; d0.45),6805
5149133,RD (f13.5; a510; d0.45),5500
5149095,RD (f13.5; a510; d0.45),5500
5149355,RM (f18.0; a665; u4),3805
5149468,RM (f18.0; a665; u4),3594
5149514,RM (f18.0; a665; u4),3596
5149589,RM (f18.0; a665; u4),3600
5149882,RM (f18.0; a665; u4),3835
5150035,RS (f18.0; a665) (x6),4657
5150107,RM (f18.0; a665; u4),3596
5150252,RM (f18.0; a665; u4),3964
5150427,RM (f18.0; a665; u4),3777
5150490,RM (f18.0; a665; u4),3778
5150538,RM (f18.0; a665; u4),3829
5150544,RD (f13.5; a510; d0.45),5499
5150846,EH 1.0,64316
5150939,RM (f18.0; a665; u4),4499
5151435,RM (f18.0; a665; u4),3633
5151511,RD (f15.0; a550) (x5),7158
5151552,RM (f18.0; a665; u4),4499
5151702,RS (f18.0; a665) (x6),4740
5151717,RS (f18.0; a665) (x6),4697
5151788,RM (f18.0; a665; u4),3914
5152189,RM (f18.0; a665; u4),3789
5151939,RD (f13.5; a510; d0.45),6915
5151961,RS (f18.0; a665) (x6),4842
5152126,RM (f18.0; a665; u4),4634
5152155,RD (f13.5; a510; d0.45),5859
5152203,RM (f18.0; a665; u4),4606
5152392,RD (f15.0; a550) (x5),6429
5152486,RM (f18.0; a665; u4),4498
5152523,RM (f18.0; a665; u4),3775
5152531,RD (f13.5; a510; d0.45),8301
5152568,EH 1.0,43568
5152619,RM (f18.0; a665; u4),3600
5165790,RD (f13.5; a510; d0.45),6787
5152699,RS (f18.0; a665) (x6),3747
5152763,RS (f18.0; a665) (x6),4197
5152848,RM (f18.0; a665; u4),3595
5152884,RM (f18.0; a665; u4),3522
5152930,RM (f18.0; a665; u4),3747
5152945,RM (f18.0; a665; u4),3602
5153014,RM (f18.0; a665; u4),3605
5153128,RS (f18.0; a665) (x6),5760
5153173,E 1.0 (x82),173970
5153381,RD (f13.5; a510; d0.45),5693
5153453,RM (f18.0; a665; u4),1564
5153463,RM (f18.0; a665; u4),4499
5153475,RM (f18.0; a665; u4),3602
5153505,UT,14482
5153542,RM (f18.0; a665; u4),3598
5153648,RD (f13.5; a510; d0.45),5639
5153780,RM (f18.0; a665; u4),4184
5153792,RD (f13.5; a510; d0.45),5503
5153852,RD (f13.5; a510; d0.45),5498
5153940,EH 1.0,45393
5154147,RM (f18.0; a665; u4),3476
5154148,RM (f18.0; a665; u4),4489
5154161,RD (f13.5; a510; d0.45),5498
5154217,RM (f18.0; a665; u4),4536
5154358,RM (f18.0; a665; u4),5442
5154377,RD (f13.5; a510; d0.45),5518
5154580,RM (f18.0; a665; u4),3767
5154639,RD (f15.0; a550) (x5),9213
5154709,RM (f18.0; a665; u4),4440
5154754,RM (f18.0; a665; u4),4500
5154793,RD (f15.0; a550) (x5),6843
5154961,RM (f18.0; a665; u4),3600
5154990,RS (f18.0; a665) (x6),4826
5155014,RS (f18.0; a665) (x6),8955
5155219,RM (f18.0; a665; u4),4195
5155223,RM (f18.0; a665; u4),4057
5155321,RM (f18.0; a665; u4),3593
5155409,RM (f18.0; a665; u4),301
5155471,RD (f15.0; a550) (x5),9903
5155594,E 1.0,132777
5155674,E 1.0,53040
5155735,RM (f18.0; a665; u4),3600
5155870,RM (f18.0; a665; u4),3791
5155980,RD (f13.5; a510; d0.45),5699
5156040,RD (f15.0; a550) (x5),6948
5156045,RD (f13.5; a510; d0.45),5511
5156081,RM (f18.0; a665; u4),3979
5156096,RD (f13.5; a510; d0.45),6103
5156225,RM (f18.0; a665; u4),3600
5156263,E 1.0,89396
5156279,RM (f18.0; a665; u4),3962
5156327,RD (f13.5; a510; d0.45),7902
5156584,RS (f18.0; a665) (x6),3597
5156598,RM (f18.0; a665; u4),3826
5156613,ON,50884
5156624,RD (f13.5; a510; d0.45),5511
5156653,E 1.0,46195
5156668,RM (f18.0; a665; u4),3600
5156827,RM (f18.0; a665; u4),3842
5156837,RM (f18.0; a665; u4),3626
5156841,RM (f18.0; a665; u4),3600
5156922,RD (f15.0; a550) (x5),5992
5157428,RM (f18.0; a665; u4),3977
5157448,RM (f18.0; a665; u4),3609
5157010,RM (f18.0; a665; u4),3600
5157107,UT,139259
5157124,RM (f18.0; a665; u4),3589
5157127,RD (f13.5; a510; d0.45),6057
5157246,RM (f18.0; a665; u4),4103
5157406,RM (f18.0; a665; u4),4719
5157481,RD (f13.5; a510; d0.45),7711
5157669,RM (f18.0; a665; u4),3608
5157792,E 1.0 (x82),2088
5157854,E 1.0,73184
5157882,RM (f18.0; a665; u4),3623
5158104,RD (f15.0; a550) (x5),7130
5158112,RD (f13.5; a510; d0.45),5502
5158136,E 1.0,42394
5158150,OR,209967
5158204,RS (f18.0; a665),4247
5158333,RM (f18.0; a665; u4),3296
5158463,RD (f13.5; a510; d0.45),5499
5158529,RM (f18.0; a665; u4),3600
5158574,RM (f18.0; a665; u4),3677
5158683,E 1.0 (x82),45382
5158787,RM (f18.0; a665; u4),3602
5158811,RS (f18.0; a665),3599
5158890,RS (f18.0; a665) (x6),5195
5158954,RM (f18.0; a665; u4),3881
5159134,RM (f18.0; a665; u4),4052
5159181,RM (f18.0; a665; u4),3600
5159405,RM (f18.0; a665; u4),3600
5159432,RS (f18.0; a665) (x6),3913
5159586,RM (f18.0; a665; u4),3673
5159814,RM (f18.0; a665; u4),3600
5159845,RD (f13.5; a510; d0.45),6091
5159905,RM (f18.0; a665; u4),3865
5159916,RM (f18.0; a665; u4),4125
5159985,RD (f15.0; a550) (x5),5994
5160038,RS (f18.0; a665),3418
5160129,RS (f18.0; a665),3449
5160425,RS (f18.0; a665),2374
5160446,RS (f18.0; a665),3449
5160636,RD (f15.0; a550) (x5),10768
5160718,RM (f18.0; a665; u4),3600
5161009,RD (f15.0; a550) (x5),6741
5161125,RD (f15.0; a550) (x5),6000
5161254,RD (f13.5; a510; d0.45),6578
5161268,RD (f15.0; a550) (x5),6402
5161278,RM (f18.0; a665; u4),3601
5161382,RM (f18.0; a665; u4),3599
5161408,RA (f24.0; au116.0),367
5161439,RM (f18.0; a665; u4),3730
5161573,RM (f18.0; a665; u4),3783
5161917,RM (f18.0; a665; u4),3822
5162384,RD (f15.0; a550) (x5),6541
5162443,RD (f15.0; a550) (x5),6254
5162502,RD (f15.0; a550) (x5),11205
5162665,RD (f13.5; a510; d0.45),6651
5162688,RD (f15.0; a550) (x5),7778
5162723,E 1.0 (x82),51812
5162758,RD (f15.0; a550) (x5),8080
5162919,RD (f13.5; a510; d0.45),5675
5163082,RD (f21.0; a975) (x70),954
5163121,RM (f18.0; a665; u4),3923
5163670,RM (f18.0; a665; u4),4037
5163372,RM (f18.0; a665; u4),3887
5163432,RD (f13.5; a510; d0.45),5998
5163730,RM (f18.0; a665; u4),3782
5163776,RS (f18.0; a665),5217
5163801,RM (f18.0; a665; u4),3940
5163823,RD (f13.5; a510; d0.45),6845
5163920,RD (f15.0; a550) (x5),6085
5163949,RS (f18.0; a665) (x6),4113
5164050,RD (f13.5; a510; d0.45),6037
5164339,RD (f13.5; a510; d0.45),6872
5164458,RD (f15.0; a550) (x5),6054
5164507,RM (f18.0; a665; u4),3862
5164518,RS (f18.0; a665),3596
5164588,RD (f15.0; a550) (x5),7700
5164595,RD (f13.5; a510; d0.45),6368
5164713,RM (f18.0; a665; u4),4458
5164726,RM (f18.0; a665; u4),3599
5164850,RM (f18.0; a665; u4),5422
5164957,RM (f18.0; a665; u4),3807
5165492,RM (f18.0; a665; u4),3806
5165101,RS (f18.0; a665),4319
5165109,RD (f15.0; a550) (x5),13700
5165111,RD (f15.0; a550) (x5),5971
5165119,RD (f15.0; a550) (x5),6492
5165120,RD (f15.0; a550) (x5),6324
5165150,RD (f13.5; a510; d0.45),6807
5165345,RD (f13.5; a510; d0.45),6772
5165723,RS (x2),2980
5166108,RD (f15.0; a550) (x5),6000
5166354,RM (f18.0; a665; u4),3806
5171035,RD (f13.5; a510; d0.45),6698
5178261,RD (f13.5; a510; d0.45),6548
5165866,RS (f18.0; a665),3452
5165972,RD (f13.5; a510; d0.45),7330
5166009,RM (f18.0; a665; u4),3526
5166193,RM (f18.0; a665; u4),3807
5166378,RS (f18.0; a665),3695
5166410,RS (f18.0; a665),3595
5166489,RD (f15.0; a550) (x5),9817
5166507,RS (f18.0; a665),3453
5166687,RM (f18.0; a665; u4),3762
5166710,RD (f13.5; a510; d0.45),6064
5166984,RD (d0.45) (x1246),14140
5167042,RD (f13.5; a510; d0.45),6561
5167143,RD (f15.0; a550) (x5),7500
5167209,RD (f13.5; a510; d0.45),7567
5167265,RD (f15.0; a550) (x5),7499
5167360,CL 0.40 (x251),150858
5167460,RS (f18.0; a665),3643
5167751,RM (f18.0; a665; u4),3778
5167467,RD (f13.5; a510; d0.45),7933
5167749,RD (f15.0; a550) (x5),6113
5167763,RD (f13.5; a510; d0.45),5849
5167779,EL 1.0,20004
5167844,RS (f18.0; a665),4141
5167876,RS (f18.0; a665),4023
5167958,RM (f18.0; a665; u4),3778
5167991,RD (f13.5; a510; d0.45),6124
5168060,RM (f18.0; a665; u4),5415
5168111,RS (f18.0; a665),4023
5168182,RS (f18.0; a665),4127
5168669,RM (f18.0; a665; u4),74469
5168677,EL 1.0,16754
5168209,RD (d0.45) (x1246),13030
5168234,RS (f18.0; a665),4147
5168331,RD (d0.45) (x1246),13100
5168795,RD (f15.0; a550) (x5),6494
5168344,UT,53473
5168345,RD (f13.5; a510; d0.45),7420
5168480,RS (f18.0; a665),4006
5168625,CR 0.5 (c0.5; r0.0) SS3  (x1127),117
5168724,RM (f18.0; a665; u4),4516
5168730,RD (f13.5; a510; d0.45),5513
5168758,RM (f18.0; a665; u4),3778
5169007,RM (f18.0; a665; u4),3597
5169135,RM (f18.0; a665; u4),3778
