parcel_id,zoning,lot_sqft
10684000135,1120,0
10684000136,1120,0
10684000137,1120,0
10684000145,1140,0
10684000155,1120,0
10697000060,5000,68433
10701000005,5390,45084
10701000035,3000,59721
10701000050,3000,13242
10704000020,5122,21143
10704000040,6700,18382
10704000050,5000,13793
10704000055,3000,41687
10704000060,5000,10299
10704000071,5732,3615
10704000072,5593,10110
10704000073,5593,10019
10704000074,3000,19602
10704000110,3000,25613
10724000020,4800,9278
10727000015,3000,105851
10728000010,6700,23691
10728000020,3000,114693
10728000030,3000,50268
10728000040,3000,68518
10728000050,3000,62683
10733000010,4800,0
10738000020,4800,66081
10739000010,4800,78582
10739000020,4800,0
10739000040,3000,12675
10739000060,3000,20211
10778000040,1310,0
10778000050,5000,821
10778000060,1124,0
10778000070,1010,0
10778000080,1120,0
10778000090,1110,0
10778000101,1130,0
10778000104,1140,0
10778000106,5000,3500
10778000107,5000,7000
10778000115,1120,0
10778000140,1010,0
10778000150,1185,69260
10778000160,1110,0
10780000390,1010,0
10780008400,1114,0
10781000010,1185,2475
10781000020,1010,0
10781000030,1110,0
10781000040,1120,0
10781000050,1010,0
10781000060,1120,0
10781000070,1110,0
10781000080,1120,0
10781000090,1120,0
10781000100,1126,0
10781000110,5000,3075
10781000120,1111,0
10787000080,1130,0
10787000090,1140,0
10787000100,1110,0
10787000110,1111,0
10787000120,1111,0
10787000140,1111,0
10787000150,1111,0
10787008011,1114,0
10788000010,1140,0
10788000020,1140,0
10788000030,1140,0
10788000040,1110,0
10788000050,1010,0
10790000135,1130,0
10790000140,1110,0
10790000145,1010,0
10790000150,1110,0
10790000181,1111,0
10790000182,1111,0
10790000183,1111,0
10790000184,1111,0
10790000190,1110,0
10790008011,1114,0
10791000010,5000,877
10791000020,1120,0
10791000040,1110,0
10791000050,1124,0
10793000100,1000,1599
10793000110,1110,0
10793000120,5000,8250
10793000130,5000,4268
10793000140,9100,4268
10793000150,1110,0
10793000160,1110,0
10793000170,1110,0
10793000180,1120,0
10793000190,1111,0
10793000200,1111,0
10793000210,1110,0
10793000220,1110,0
10793000230,1110,3494
10798000075,1010,0
10798000085,1110,3699
10798000095,1010,1560
10798000100,1110,1560
10798000114,1010,1800
10798000130,1010,0
10798000140,1127,0
10798000141,1120,0
10798000142,1120,0
10798000143,1130,0
10798000160,1140,0
10798000170,1120,0
10798000180,1010,0
10801000010,1010,0
10801000020,1120,0
10801000030,1110,0
10801000040,1120,0
10801000050,1110,0
10801000051,1140,0
10801000061,1120,0
10801000070,1110,0
10801000080,1110,0
10801000090,1120,0
10801000100,1120,0
10801000110,1110,0
10801000120,1110,0
10801000130,1120,0
10804000080,1128,0
10804000090,1010,0
10804000100,1120,0
10804000110,1110,0
